
**** VECTORS ****
time spent on the queue PolicyA.queue ($0=123, #0 - General-0-20220621-02:57:15-6016)		queue size after modification PolicyA.queue ($0=123, #0 - General-0-20220621-02:57:15-6016)		queue size per minute PolicyA.queue ($0=123, #0 - General-0-20220621-02:57:15-6016)		client processing order PolicyA.queue ($0=123, #0 - General-0-20220621-02:57:15-6016)		processing time with client order PolicyA.queue ($0=123, #0 - General-0-20220621-02:57:15-6016)		till processing order PolicyA.queue ($0=123, #0 - General-0-20220621-02:57:15-6016)		client total time in the till PolicyA.queue ($0=123, #0 - General-0-20220621-02:57:15-6016)		number of clients entering the queue per timer interval PolicyA.source ($0=123, #0 - General-0-20220621-02:57:15-6016)	
234531.002	1350.438999999999845	117779.159	23			234873.678	8356	234873.678	322.6759999999999295	234873.678	9	234873.678	342.6759999999999295		
234538.142	1351.240999999999981	117785.061	22			234879.082	8364	234879.082	30.27899999999999625	234879.082	0	234879.082	32.27899999999999625		
234601.077	1362.911000000000055	117794.258	21			234888.441	8346	234888.441	626.6689999999998665	234888.441	2	234888.441	632.6689999999998665		
234601.734	1329.425999999999926	117797.033	20			234916.028	8362	234916.028	126.9259999999999872	234916.028	6	234916.028	140.9259999999999872		
234645.923	1370.761999999999712	117825.187	19			234933.156	8367	234933.156	52.07399999999999785	234933.156	0	234933.156	54.07399999999999785		
234699.276	1423.714999999999685	117860.801	20			234960.737	8363	234960.737	133.8050000000000063	234960.737	4	234960.737	143.8050000000000062		
234775.102	1483.644999999999976	117884.697	19			234968.79	8368	234968.79	74.34899999999998925	234968.79	2	234968.79	80.34899999999998925		
234816.932	1488.163999999999756	117936.202	18			234970.384	8345	234970.384	724.317999999999981	234970.384	8	234970.384	742.317999999999981		
234846.803	1499.594999999999793	117969.436	17			234971.605	8361	234971.605	256.32899999999995	234971.605	7	234971.605	272.32899999999995		
234859.536	1504.91799999999966	118002.71	18			235042.351	8365	235042.351	178.814999999999997	235042.351	1	235042.351	182.814999999999997		
234873.678	1446.060999999999688	118013.869	17			235044.137	8372	235044.137	69.34699999999997975	235044.137	2	235044.137	75.34699999999997975		
234879.082	1401.723999999999701	118016.986	18			235081.153	8349	235081.153	682.835000000000035	235081.153	3	235081.153	690.835000000000035		
234888.441	1404.382000000000057	118019.978	17			235086.387	8375	235086.387	40.03600000000000117	235086.387	1	235086.387	44.03600000000000117		
234916.028	1364.826000000000016	118022.953	18			235098.884	8369	235098.884	168.855999999999994	235098.884	6	235098.884	182.855999999999994		
234933.156	1369.460000000000032	118023.692	17			235112.742	8366	235112.742	219.063999999999964	235112.742	9	235112.742	239.063999999999964		
234960.737	1378.163999999999756	118057.072	18			235123.995	8374	235123.995	136.389999999999986	235123.995	7	235123.995	152.3899999999999858		
234968.79	1385.074999999999813	118073.46	19			235156.412	8377	235156.412	67.2589999999999859	235156.412	3	235156.412	75.2589999999999859		
234970.384	1381.893000000000025	118092.286	20			235158.959	8370	235158.959	223.802999999999997	235158.959	0	235158.959	225.802999999999997		
